EQUIPO2,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
ADMS1MA0201CE13,Microsoft Windows 7 Ultimate,Intel(R) Core(TM)2 Quad CPU Q9550 @ 2.83GHz [4 core(s) x64],3543,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
JURS2ME0701CE02,Microsoft Windows XP Professional,Intel(R) Pentium(R) 4 CPU 3.60GHz [1 core(s) x86],512,Compaq-Presario,GN670AA-ABM SG3110LA,
AGRS1MG2002CE02,Microsoft Windows 7 Professional,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
EDUS1MB1002CE08,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
ADMS1MA0201CE09,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz [2 core(s) x64],3567,Hewlett-Packard,HP Compaq dc5800 Microtower,
ADMS1MA0102CP01,Microsoft Windows 7 Professional,Intel(R) Core(TM) i7-2620M CPU @ 2.70GHz [2 core(s) x64],4096,Hewlett-Packard,HP EliteBook 8460p,
AGRS1MG0302CE08,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Quad CPU Q9550 @ 2.83GHz [4 core(s) x64],3579,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
JURS2MD0602CE03,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Duo CPU E7500 @ 2.93GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
SALS1MA0301CE03,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Duo CPU E7500 @ 2.93GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
SALS1MA0301CE05,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
ADMS1MA0201CE20,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Duo CPU E4700 @ 2.60GHz [2 core(s) x64],2048,HP-Pavilion,KN281AA-ABM s3420la,
jurs2mc0801ce01,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
AGRS1MG2302CE04,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
UEDS2MD0102CE56,Microsoft Windows 8.1 Pro,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz [2 core(s) x64],4096,Hewlett-Packard,HP Compaq dc5800 Microtower,
MEDS2MD0102CE63,Microsoft Windows 8 Pro,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz [2 core(s) x64],4096,Hewlett-Packard,2820h,
agrs1mg0701ce10,Linux Mint 19 Tara,AMD FX-8320E Eight-Core Processor,3675,System manufacturer,System Product Name,
SALS1MA0902CE06,Microsoft Windows 7 Professional,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz [4 core(s) x64],3242,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
ADMS2ME0201CP02,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Duo CPU T6670 @ 2.20GHz [2 core(s) x64],2972,Hewlett-Packard,HP ProBook 4510s,
agrs1mg0701ce19,Linux Mint 19 Tara,AMD FX-8320E Eight-Core Processor,3675,System manufacturer,System Product Name,
agrs1mg0701ce02,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
JURS2MC0503CE19,Linux Mint 17.3 Rosa,AMD FX-8320E Eight-Core Processor,3682,System manufacturer,System Product Name,
agrs1mg0701ce13,Linux Mint 19 Tara,AMD FX-8320E Eight-Core Processor,3675,System manufacturer,System Product Name,
agrs1mg0701ce04,Linux Mint 19 Tara,AMD FX-8320E Eight-Core Processor,3675,System manufacturer,System Product Name,
agrs1mg0701ce15,Linux Mint 19 Tara,AMD FX-8320E Eight-Core Processor,3675,System manufacturer,System Product Name,
agrs1mg0701ce08,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
agrs1mg0701ce16,Linux Mint 19 Tara,AMD FX-8320E Eight-Core Processor,3675,System manufacturer,System Product Name,
agrs1mg0701ce09,Linux Mint 19 Tara,AMD FX-8320E Eight-Core Processor,3675,System manufacturer,System Product Name,
JURS2MC0503CE39,Microsoft Windows XP Professional,Intel(R) Pentium(R) 4 CPU 3.20GHz [1 core(s) x86],512,HP-CPC,3ASAD010,
agrs1mg0701ce11,Linux Mint 19 Tara,AMD FX-8320E Eight-Core Processor,3675,System manufacturer,System Product Name,
AGRS1MG2002CE03,Microsoft Windows 7 Professional,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
jurs2mc0801ce04,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
edus1mb0101ce15,Linux Mint 19 Tara,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1923,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
ADMS1MA0102CE06,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz [4 core(s) x64],4096,Hewlett-Packard,HP Compaq Pro 6300 MT,
jurs2mc0802ce09,Linux Mint 17.3 Rosa,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3839,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
sals1ma0502ce24,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
jurs2mc0802ce13,Linux Mint 17.3 Rosa,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3839,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
UEDS2MD0102CE40,Microsoft Windows 8 Pro,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz [2 core(s) x64],4096,Hewlett-Packard,HP Compaq dc5800 Microtower,
